Genre_origine;Genre1;Genre2
philly soul;soul;
death metal;metal;
reggae rock;rock;reggae
world;jazz;folk
power metal;metal;
j-pop;pop;
trance;electro;
trap queen;rap;
folk-pop;folk;pop
shoegaze;rock;
progressive trance;electro;
la indie;rock;
rap metal;rap;metal
classical bass;classical;
cantopop;pop;
early music;classical;
video game music;electro;
neo-psychedelic;metal;electro
historic orchestral performance;classical;
argentine rock;rock;
classical tenor;classical;
old school thrash;metal;
torch song;chill;
nashville sound;pop;country
modern funk;r&b;soul
violin;classical;
afropop;pop;
jazz blues;blues;jazz
bow pop;pop;
vapor twitch;electro;
dreamo;rock;
bubblegum dance;electro;
dominican pop;pop;
chicago blues;blues;
industrial;electro;
ambient;chill;
experimental rock;rock;
thrash metal;metal;
uplifting trance;electro;
indian classical;classical;
exotica;pop;
underground rap;rap;
afrobeat;jazz;r&b
gothic rock;rock;
nueva cancion;folk;
vintage chanson;pop;
mexican rock-and-roll;rock;
space age pop;pop;
pixie;rock;
australian rock;rock;
red dirt;country;
girl group;pop;
funk rock;r&b;rock
freestyle;latino;
cantautor;pop;
banjo;blues;
neo-classical;classical;
british folk;folk;
post-screamo;rock;metal
focus;chill;
contemporary gospel;blues;
italian adult pop;pop;
miami hip hop;rap;
baroque pop;pop;
vocal house;electro;
candy pop;pop;
country blues;blues;country
indie electropop;rock;electro
classic opm;pop;
bachata;reggae;latino
trap soul;rap;soul
vintage chinese pop;pop;
traditional country;country;
viral rap;rap;
oklahoma country;country;
groove metal;metal;
neo classical metal;metal;classical
deep indian pop;pop;
bedroom pop;pop;
ragtime;blues;jazz
meditation;chill;
deep adult standards;classical;
vintage jazz;jazz;
bronx hip hop;rap;
mexican rock;rock;
folk punk;folk;rock
rumba;latino;
perreo;reggae;
chamber orchestra;classical;
noise pop;pop;
irish folk;folk;
beatlesque;rock;pop
fourth world;electro;
bass trap;rap;
corridos tumbados;rap;
future bass;electro;
memphis soul;soul;
anime;pop;
deep house;electro;
brostep;electro;
jazz drums;jazz;
modern reggae;reggae;
canadian rock;rock;
uk dance;electro;
post-rock;rock;
queens hip hop;rap;
british orchestra;classical;
salsa puertorriquena;jazz;latino
canzone napoletana;folk;jazz
zolo;rock;
vintage italian pop;pop;
australian dance;electro;
ninja;electro;rap
new orleans jazz;jazz;
roots worship;folk;
anime score;electro;
jazz trio;jazz;
gaming edm;electro;
surf music;rock;
vocal harmony group;classical;
calming instrumental;chill;
houston rap;rap;
modern folk rock;rock;folk
ecm-style jazz;jazz;
japanese city pop;pop;
roots americana;folk;blues
christmas instrumental;pop;
indie pop rap;rock;rap
praise;classical;
memphis hip hop;rap;
cumbia;latino;
operatic pop;pop;
vintage hollywood;rock;
swedish pop;pop;
speed metal;metal;
sleaze rock;rock;
italian tenor;classical;pop
northern soul;soul;
atl trap;rap;
baroque;classical;
rock nacional;rock;
epicore;metal;
filter house;electro;
anthem emo;rock;
oi;rock;
banda caliente;latino;
drone;chill;classical
deep underground hip hop;rap;
christian relaxative;chill;classical
canadian singer-songwriter;pop;
preschool children's music;chill;
bachata dominicana;latino;
hungarian classical performance;classical;
australian indie;rock;
historically informed performance;classical;
philly rap;rap;
american classical piano;classical;
boston rock;rock;
chicago house;electro;
deathcore;metal;
cartoon;pop;
diva house;electro;
neo-synthpop;pop;
library music;chill;
tin pan alley;pop;
classical mezzo-soprano;classical;
free improvisation;jazz;
dark wave;pop;rock
celtic rock;rock;
historic piano performance;classical;
british soul;soul;
french romanticism;chill;
avant-garde;electro;classical
new age piano;chill;
nyc rap;rap;
calypso;latino;
louisiana blues;blues;
white noise;electro;
sound;rock;pop
political hip hop;rap;
deep big room;electro;
rare groove;jazz;
k-pop boy group;pop;
afrofuturism;jazz;r&b
nu disco;pop;
ska revival;reggae;rock
j-rock;rock;
antiviral pop;pop;
brazilian jazz;jazz;
intelligent dance music;electro;
space rock;rock;
soul blues;blues;soul
musica tradicional cubana;latino;
pagode;latino;
vintage tango;latino;
stoner rock;rock;
hi-nrg;electro;
classical cello;classical;
thrash core;metal;
jangle pop;pop;
wrestling;rock;rap
deep ccm;pop;rock
modern ska punk;rock;reggae
harlem renaissance;jazz;blues
la pop;pop;
american modern classical;classical;
new jersey rap;rap;
classical era;classical;
dixieland;jazz;
korean pop;pop;
french classical piano;classical;
tamil pop;pop;
souldies;soul;
instrumental rock;rock;
contemporary classical;classical;
dirty texas rap;rap;
canadian hip hop;rap;
american orchestra;classical;
vintage italian soundtrack;pop;
jazz double bass;jazz;
philly indie;classical;jazz
tecnobanda;latino;
poetry;chill;
cowboy western;country;
delta blues;blues;
water;classical;
oakland hip hop;rap;
chill r&b;chill;r&b
indie surf;rock;
progressive post-hardcore;metal;
gymcore;metal;
indie jazz;rock;jazz
experimental pop;pop;
bubblegrunge;rock;
musica popular colombiana;pop;
jazz quartet;jazz;
healing;chill;
jazz rap;rap;jazz
swedish jazz;jazz;
cancion melodica;latino;classical
progressive metal;metal;
deep disco;pop;electro
contemporary vocal jazz;jazz;
impressionism;classical;
german romanticism;classical;chill
double drumming;rock;
canadian contemporary r&b;r&b;
novelty;chill;
french rock;rock;
chicago soul;soul;
country gospel;country;blues
nyc pop;pop;
italian bass;electro;
minneapolis sound;r&b;rock
microhouse;electro;
boogaloo;latino;rock
jump blues;blues;
duranguense;latino;
british choir;classical;
orgcore;metal;
early romantic era;chill;
texas blues;blues;
jazz trombone;jazz;
classic pakistani pop;classical;pop
new orleans blues;blues;
classify;pop;
sunshine pop;pop;
piano blues;blues;
bluegrass gospel;blues;country
k-pop girl group;pop;
cosmic american;folk;
native american;folk;
brooklyn indie;jazz;rock
classical baritone;classical;
instrumental funk;r&b;soul
kirtan;classical;
c86;pop;rock
punk 'n' roll;rock;
classic girl group;classical;
arkansas country;country;
italian disco;pop;
smooth saxophone;jazz;chill
drill;rap;
riot grrrl;metal;
puerto rican pop;pop;
southern soul blues;blues;soul
canadian metal;metal;
garage psych;rock;r&b
korean r&b;r&b;
canadian country;country;
laiko;pop;
classical organ;classical;
classic venezuelan pop;classical;pop
k-rap;rap;
hardcore;metal;
italian romanticism;classical;
modern hard rock;rock;
crossover thrash;metal;
shamanic;classical;chill
abstract hip hop;rap;
supergroup;rock;jazz
steampunk;rock;
psychedelic soul;soul;
harmonica blues;blues;
deep christian rock;rock;
ethereal wave;chill;rock
tango;latino;
italian soprano;classical;
laboratorio;pop;
neo r&b;r&b;
choro;latino;pop
classic praise;classical;
swamp pop;pop;
hardcore techno;electro;
hindustani classical;classical;
psychedelic folk;folk;
instrumental bluegrass;country;
classic israeli pop;classical;pop
vallenato;folk;
british soundtrack;rock;pop
straight edge;rock;metal
hard alternative;metal;rock
string quartet;classical;
uk contemporary r&b;r&b;
stoner metal;metal;
miami bass;rap;electro
deep groove house;electro;
neoclassicism;classical;
harlem hip hop;rap;
italian baritone;classical;
gospel r&b;r&b;blues
new french touch;electro;
modern southern rock;rock;
talent show;chill;
madchester;rock;pop
rock drums;rock;
classic colombian pop;classical;pop
memphis blues;blues;
deep southern trap;rap;
lgbtq+ hip hop;rap;
scottish new wave;rock;pop
german orchestra;classical;
pinoy rock;rock;
ebm;electro;
ye ye;r&b;rock
phonk;rap;
psychedelic hip hop;rap;
british classical piano;classical;
fingerstyle;folk;jazz
world fusion;jazz;
deep soft rock;rock;
swedish electropop;electro;pop
trova;latino;
anime rock;rock;
jazz organ;jazz;
nova mpb;latino;
mambo;latino;
dfw rap;rap;
colombian pop;pop;
ballroom;latino;
hindustani vocal;classical;
deep norteno;classical;
norteno-sax;folk;
bangla;latino;
southern gospel;blues;
tex-mex;latino;reggae
classic arab pop;classical;pop
russian classical piano;classical;
italian opera;classical;
florida rap;rap;
power-pop punk;pop;rock
emo punk;rock;
bay area indie;rock;
operetta;classical;
new orleans rap;rap;
german techno;electro;
dubstep;electro;
modern indie pop;rock;pop
classical guitar;classical;
noise rock;rock;
salsa colombiana;latino;
theme;classical;rock
bakersfield sound;country;
christian hip hop;rap;
australian alternative rock;rock;
minimalism;electro;chill
italian orchestra;classical;
slack-key guitar;jazz;
bedroom soul;soul;
uk82;metal;
rabindra sangeet;classical;
north carolina hip hop;rap;
lullaby;chill;
soca;reggae;latino
polynesian pop;pop;
ectofolk;folk;
socal pop punk;pop;rock
western swing;country;
acid rock;rock;
glitchcore;electro;
british modern classical;classical;
spanish pop rock;rock;pop
latin classical;classical;
british singer-songwriter;pop;
doom metal;metal;
boom bap;rap;
cowpunk;rock;country
japanese jazz;jazz;
djent;metal;
baroque ensemble;classical;
trancecore;metal;electro
norwegian pop;pop;
complextro;electro;
breakbeat;electro;jazz
instrumental soul;soul;
italian baroque;classical;
spirituals;blues;chill
comic metal;metal;
mexican hip hop;rap;
hammond organ;jazz;reggae
german pop;pop;
swamp rock;rock;
historic classical performance;classical;
french indie pop;rock;pop
sertanejo universitario;pop;
tennessee hip hop;rap;
russian romanticism;classical;chill
children's folk;folk;
jamgrass;blues;
boogie-woogie;blues;r&b
francoton;rap;pop
cabaret;rock;
classic swedish pop;classical;pop
sertanejo;r&b;soul
detroit hip hop;rap;
outsider;jazz;
kindie rock;rock;
puerto rican folk;folk;
swedish metal;metal;
classic persian pop;classical;pop
jazz clarinet;jazz;
new jersey indie;rock;
modern dream pop;pop;
jazztronica;jazz;
french orchestra;classical;
melodic death metal;metal;
chicago indie;rock;
pop soul;pop;soul
psychobilly;rock;
p funk;r&b;soul
scottish indie;rock;
french soundtrack;classical;
german classical piano;classical;
battle rap;rap;
haitian traditional;latino;
piedmont blues;blues;
deep tropical house;electro;
brutal death metal;metal;
bolero cubano;latino;
italian mezzo-soprano;classical;
american contemporary classical;classical;
baton rouge rap;rap;
nyhc;metal;
chopped and screwed;rap;
uk hip hop;rap;
taiwan singer-songwriter;pop;
psychedelic blues-rock;rock;blues
shanty;folk;metal
pop reggaeton;pop;reggae
new orleans funk;r&b;soul
drum and bass;electro;
rebel blues;blues;
renaissance;classical;
traditional rockabilly;rock;
reggaeton colombiano;reggae;
spanish new wave;rock;pop
banda carnavalera;latino;
hyperpop;pop;
taiwan campus folk;folk;
marathi traditional;folk;
background piano;chill;
mexican indie;latino;
medieval folk;folk;
classical flute;classical;
melodic metal;metal;
sludge metal;metal;
rawstyle;electro;
canadian punk;rock;
hopebeat;pop;rock
german rock;rock;
israeli rock;rock;
aussietronica;electro;
rock urbano mexicano;rock;
e6fi;rock;pop
garage rock revival;rock;
christian metal;metal;
vintage schlager;pop;rock
alternative roots rock;rock;
scottish rock;rock;
progressive psytrance;electro;
a cappella;classical;
radio symphony;classical;
rap latina;rap;
lo-fi indie;electro;chill
carnatic vocal;folk;
lo-fi chill;chill;
slowcore;metal;
twee pop;pop;
ohio hip hop;rap;
rock keyboard;rock;
chicago punk;rock;
grime;electro;rap
underground power pop;pop;
wonky;electro;rap
gauze pop;pop;
nz pop;pop;
midwest emo;rock;
shred;metal;
art punk;rock;
vocal trance;electro;
opera chorus;classical;
piano cover;classical;
dark post-punk;rock;
french jazz;jazz;
dmv rap;rap;
german metal;metal;
chinese indie;rock;chill
moombahton;electro;latino
tropicalia;latino;
tribal house;electro;
etherpop;pop;
athens indie;folk;country
future funk;r&b;soul
chillstep;chill;
chicha;latino;
small room;jazz;
light music;classical;
ska argentino;reggae;rock
no wave;rock;
synthwave;electro;
electro swing;electro;
dutch pop;pop;
acid house;electro;
brazilian rock;rock;
christian uplift;pop;classical
glitch hop;electro;
christian indie;classical;
nu-cumbia;electro;
spytrack;rock;chill
arab pop;pop;
neoclassical darkwave;classical;
french opera;classical;
classical contralto;classical;
kawaii future bass;electro;
scandipop;pop;
garage pop;pop;
early us punk;rock;
austindie;rock;
canzone d'autore;pop;
musica llanera;latino;
new weird america;rock;
rosary;chill;
canadian electronic;electro;
hungarian classical piano;classical;
swedish synthpop;pop;
beach music;r&b;pop
traprun;rap;
acoustic punk;rock;
minnesota hip hop;rap;
arab folk;folk;
kiwi rock;rock;
jazz violin;jazz;
bass house;electro;
grave wave;metal;
latin metal;metal;
kids dance party;electro;
vintage classical singing;classical;
kansas city hip hop;rap;
symphonic metal;metal;
texas latin rap;rap;
greek pop;pop;
alabama rap;rap;
reggae en espanol;reggae;
electro-industrial;electro;
jazz pop;jazz;pop
honky tonk;country;
highlife;folk;
east coast reggae;reggae;
glam punk;rock;
japanese soundtrack;classical;
japanese chillhop;chill;
welsh rock;rock;
merengue tipico;chill;
nwobhm;metal;
taiwan pop;pop;
black metal;metal;
violao;latino;
early reggae;reggae;
german opera;classical;
modern power pop;pop;
alternative pop rock;rock;pop
bhajan;chill;
moog;electro;
hardstyle;electro;
spanish classical;classical;
jazz rock;rock;jazz
carnatic;folk;
chutney;latino;
women's music;pop;
classic japanese jazz;classical;jazz
techno;electro;
west coast reggae;reggae;
ecuadorian pop;pop;
deep ragga;reggae;
panamanian pop;pop;
mariachi cristiano;blues;
anglican liturgy;chill;
post-disco soul;soul;pop
new comedy;pop;
gypsy jazz;jazz;
brazilian indie;latino;
classic schlager;classical;
brass band;classical;
samba-jazz;jazz;
mandolin;classical;
horror punk;rock;
swedish indie pop;rock;pop
uk americana;pop;
clean comedy;pop;
bboy;rock;
melodic dubstep;electro;
french synthpop;pop;
retro soul;soul;
irish singer-songwriter;pop;
riddim;electro;
channel pop;pop;
atmosphere;chill;
comedy rap;rap;
cello;classical;
classical clarinet;classical;
lds;folk;
vintage country folk;country;folk
norwegian jazz;jazz;
lo-fi emo;rock;
galante era;classical;
flamenco guitar;classical;
idol;pop;
folktronica;folk;
olympia wa indie;rock;
slayer;metal;
christian punk;rock;
jazz vibraphone;rap;jazz
nouvelle chanson francaise;pop;
vintage french electronic;electro;
livetronica;electro;
mande pop;pop;
vapor pop;pop;
electronic rock;rock;electro
electropowerpop;electro;pop
yodeling;folk;
cumbia salvadorena;metal;
electroclash;electro;
shibuya-kei;pop;
celtic punk;rock;
turkish jazz;jazz;
boston hip hop;rap;
german choir;classical;
drift;folk;
chicago drill;rap;
brit funk;r&b;soul
psicodelia brasileira;latino;
navajo;reggae;country
polish classical piano;classical;
shiver pop;pop;
portland indie;rock;
canadian contemporary country;country;
k-indie;rock;pop
jazz brass;jazz;
parody;folk;
euphoric hardstyle;electro;
crust punk;rock;
axe;latino;
vaporwave;electro;r&b
cubaton;latino;
neo-singer-songwriter;pop;
salsa venezolana;latino;
german baroque;classical;
progressive uplifting trance;electro;
dark clubbing;electro;
austrian orchestra;classical;
ambient folk;folk;
spiritual jazz;jazz;
j-metal;metal;
baroque violin;classical;
swing italiano;jazz;
seattle hip hop;rap;
native american flute;folk;
nigerian pop;pop;
chilean rock;rock;
brooklyn drill;rap;
chamber choir;classical;
australian electropop;electro;pop
progressive trance house;electro;
christian trap;rap;
brazilian soul;soul;
romantico;chill;
j-pixie;pop;rock
dark cabaret;pop;rock
us power metal;metal;
irish rock;rock;
tape club;pop;
electra;electro;
drill and bass;rap;electro
detroit trap;rap;
reading;chill;
rock cristiano;rock;
zydeco;blues;jazz
american romanticism;chill;
russian modern classical;classical;
toronto rap;rap;
palm desert scene;rock;
krautrock;rock;
neue deutsche welle;rock;pop
canadian ccm;classical;
wu fam;rap;
cumbia colombiana regia;latino;
musica jibara;latino;
australian hip hop;rap;
american post-rock;rock;
cambridge choir;classical;
japanese singer-songwriter;pop;
german literature;chill;
neo-progressive;rock;
nederpop;pop;
steel guitar;rock;
west end;pop;
german dance;electro;
cyberpunk;rock;electro
deep talent show;rap;
minimal wave;chill;
surf punk;rock;
israeli pop;pop;
new mexico music;country;folk
melbourne bounce international;electro;
electric bass;electro;
experimental hip hop;rap;
ska mexicano;reggae;rock
classic greek pop;classical;pop
deep contemporary country;country;
british dance band;electro;
sacramento hip hop;rap;
austin americana;country;
canadian electropop;electro;pop
soul flow;soul;
jazz cubano;jazz;
deathrock;rock;
jazz boom bap;jazz;
garage house;electro;
hindustani instrumental;classical;
family gospel;blues;
ambeat;rap;
portland hip hop;rap;
turkish folk;folk;
early music ensemble;classical;
victorian britain;classical;
icelandic pop;pop;
jug band;jazz;blues
classic turkish pop;classical;pop
string folk;folk;
kundiman;folk;
russian rock;rock;
vallenato moderno;folk;
gothic metal;metal;
tech house;electro;
happy hardcore;metal;
new jersey hardcore;metal;
nashville singer-songwriter;pop;
dc hardcore;metal;
pop house;electro;pop
israeli singer-songwriter;pop;
psychedelic doom;metal;
flamenco;latino;
guitarra clasica;classical;
string band;jazz;
technical death metal;metal;
pops orchestra;pop;
greek clarinet;classical;
proto-techno;electro;
bass music;electro;
gregorian chant;classical;
liquid funk;r&b;soul
alternative americana;rock;country
swedish death metal;metal;
uk reggae;reggae;
swedish alternative rock;rock;
afro dancehall;reggae;
japanese vgm;electro;
pop folk;folk;pop
adoracion;chill;classical
scream rap;rap;
folklore argentino;folk;
oxford indie;rock;
peruvian rock;rock;
early synthpop;pop;
children's choir;classical;
gabba;electro;
classical horn;classical;
deep east coast hip hop;rap;
swamp blues;blues;
acoustic rock;rock;
sertanejo tradicional;pop;
russian orchestra;classical;
vintage swedish pop;pop;
french baroque;classical;
vintage spanish pop;pop;
british industrial;electro;
melbourne bounce;electro;
eurobeat;electro;
modern alternative pop;pop;
swedish power metal;metal;
black comedy;metal;
uk dnb;electro;
canadian celtic;folk;
belly dance;electro;
electro latino;electro;latino
rock nacional brasileiro;rock;
nordic classical piano;classical;
garage punk;rock;
british indie rock;rock;
lebanese pop;pop;
psychedelic trance;electro;
rap cristiano;rap;
early music choir;classical;
instrumental post-rock;rock;
nintendocore;metal;electro
asian american hip hop;rap;
seattle indie;rock;
vintage swing;jazz;
cuban rumba;latino;
german jazz;jazz;
classic russian rock;rock;classical
deep uplifting trance;electro;
bounce;electro;
nursery;chill;
psychedelic pop;pop;electro
sacramento indie;rock;
afghan pop;pop;
stomp pop;pop;
alberta country;country;
deep new wave;rock;pop
irish country;country;
dutch house;electro;
harpsichord;classical;
pop violin;pop;
hard minimal techno;electro;
north carolina roots;folk;rock
danish classical;classical;
new england americana;rock;folk
neo-trad metal;metal;
french reggae;reggae;
australian reggae fusion;reggae;
tempe indie;rock;
british experimental;electro;
rave;electro;
melodic deathcore;metal;
polish classical;classical;
belgian edm;electro;
minimal techno;electro;
singaporean mandopop;pop;
progressive jazz fusion;jazz;
popping;pop;
funky tech house;electro;r&b
desi hip hop;rap;
azontobeats;electro;
outsider house;electro;
canadian soundtrack;classical;
yugoslav rock;rock;
dutch edm;electro;
industrial hip hop;rap;
smooth soul;soul;
san diego indie;rock;
bahamian folk;folk;
filthstep;electro;
melodic hard rock;rock;
future garage;electro;
organic house;electro;
queer country;country;
austin singer-songwriter;pop;
entehno;classical;
afroswing;jazz;
minneapolis indie;rock;
vocaloid;r&b;electro
new jersey punk;rock;
virginia hip hop;rap;
russian folk;folk;
instrumental surf;rock;
boston hardcore;metal;
traditional ska;reggae;rock
barockinterpreten;rock;
pop venezolano;pop;
experimental ambient;chill;
austrian classical piano;classical;
glitch;electro;
classic russian pop;classical;pop
melodic thrash;metal;
early american folk;folk;
british alternative rock;rock;
teen pop;pop;
groove room;electro;
viking metal;metal;
bhangra;pop;rock
french indietronica;rock;
manila sound;rock;folk
musica costena;folk;
technical thrash;metal;
eau claire indie;rock;
american choir;classical;
toronto indie;rock;
australian children's music;chill;
schlager;pop;rock
latin viral pop;pop;
deep smooth jazz;jazz;
abstract;rap;
finnish metal;metal;
tone;rock;
uk alternative pop;pop;
stomp and flutter;chill;
transpop;pop;
vancouver punk;rock;
progressive metalcore;metal;
bouzouki;folk;
norwegian indie;rock;
singaporean pop;pop;
horrorcore;metal;
austro-german modernism;folk;
classic hardstyle;classical;electro
ukrainian classical piano;classical;
indie hip hop;rap;
truck-driving country;country;
kentucky roots;folk;blues
electro jazz;electro;jazz
mexican classic rock;rock;classical
oakland indie;rock;
nl folk;folk;
musica prehispanica;latino;
visual kei;rock;metal
korean classical performance;classical;
australian indie folk;rock;folk
okinawan pop;pop;
german power metal;metal;
classical trumpet;classical;
thai pop;pop;
tamborazo;folk;
modern salsa;latino;
venezuelan rock;rock;
czech classical;classical;
charanga;folk;latino
australian metalcore;metal;
german soundtrack;classical;
lds youth;chill;
malian blues;blues;
traditional soul;soul;
musica para ninos;chill;
one-person band;folk;
turkish pop;pop;
persian pop;pop;
san diego rap;rap;
irish classical;classical;
funk carioca;r&b;soul
baltimore indie;rock;
easycore;metal;
gaita zuliana;folk;
english baroque;classical;
trap argentino;rap;
british contemporary classical;classical;
polyphony;classical;
canadian classical piano;classical;
retro metal;metal;
folk metal;folk;metal
jazz flute;jazz;
rap conciencia;rap;
folk rock italiano;rock;folk
uk doom metal;metal;
st louis rap;rap;
english renaissance;classical;
icelandic indie;rock;
fado;latino;
deathgrass;metal;
atlanta indie;rock;
pony;r&b;soul
drama;r&b;
boston punk;rock;
gothenburg metal;metal;
traditional british folk;folk;
cumbia andina mexicana;latino;
classical harp;classical;
bassline;electro;
early avant garde;electro;rock
hurdy-gurdy;classical;
scam rap;rap;
sheffield indie;rock;
